Date,Value
2017-08-01,2456.22
2017-07-01,2454.10
2017-06-01,2433.99
2017-05-01,2395.35
2017-04-01,2359.31
2017-03-01,2366.82
2017-02-01,2329.91
2017-01-01,2275.12
2016-12-01,2246.63
2016-11-01,2164.99
2016-10-01,2143.02
2016-09-01,2157.69
2016-08-01,2170.95
2016-07-01,2148.9
2016-06-01,2083.89
2016-05-01,2065.55
2016-04-01,2075.54
2016-03-01,2021.95
2016-02-01,1904.42
2016-01-01,1918.6
2015-12-01,2054.08
2015-11-01,2080.62
2015-10-01,2024.81
2015-09-01,1944.41
2015-08-01,2039.87
2015-07-01,2094.14
2015-06-01,2099.29
2015-05-01,2111.94
2015-04-01,2094.86
2015-03-01,2079.99
2015-02-01,2082.2
2015-01-01,2028.18
2014-12-01,2054.27
2014-11-01,2044.57
2014-10-01,1937.27
2014-09-01,1993.23
2014-08-01,1961.53
2014-07-01,1973.1
2014-06-01,1947.09
2014-05-01,1889.77
2014-04-01,1864.26
2014-03-01,1863.52
2014-02-01,1817.04
2014-01-01,1822.36
2013-12-01,1807.78
2013-11-01,1783.54
2013-10-01,1720.03
2013-09-01,1687.17
2013-08-01,1670.09
2013-07-01,1668.68
2013-06-01,1618.77
2013-05-01,1639.84
2013-04-01,1570.7
2013-03-01,1550.83
2013-02-01,1512.31
2013-01-01,1480.4
2012-12-01,1422.29
2012-11-01,1394.51
2012-10-01,1437.82
2012-09-01,1443.42
2012-08-01,1403.45
2012-07-01,1359.78
2012-06-01,1323.48
2012-05-01,1341.27
2012-04-01,1386.43
2012-03-01,1389.24
2012-02-01,1352.49
2012-01-01,1300.58
2011-12-01,1243.32
2011-11-01,1226.42
2011-10-01,1207.22
2011-09-01,1173.88
2011-08-01,1185.31
2011-07-01,1325.19
2011-06-01,1287.29
2011-05-01,1338.31
2011-04-01,1331.51
2011-03-01,1304.49
2011-02-01,1321.12
2011-01-01,1282.62
2010-12-01,1241.53
2010-11-01,1198.89
2010-10-01,1171.58
2010-09-01,1122.08
2010-08-01,1087.28
2010-07-01,1079.8
2010-06-01,1083.36
2010-05-01,1125.06
2010-04-01,1197.32
2010-03-01,1152.05
2010-02-01,1089.16
2010-01-01,1123.58
2009-12-01,1110.38
2009-11-01,1088.07
2009-10-01,1067.66
2009-09-01,1044.55
2009-08-01,1009.73
2009-07-01,935.82
2009-06-01,926.12
2009-05-01,902.41
2009-04-01,848.15
2009-03-01,757.13
2009-02-01,805.23
2009-01-01,865.58
2008-12-01,877.56
2008-11-01,883.04
2008-10-01,968.8
2008-09-01,1216.95
2008-08-01,1281.47
2008-07-01,1257.33
2008-06-01,1341.25
2008-05-01,1403.22
2008-04-01,1370.47
2008-03-01,1316.94
2008-02-01,1354.87
2008-01-01,1378.76
2007-12-01,1479.22
2007-11-01,1463.39
2007-10-01,1539.66
2007-09-01,1497.12
2007-08-01,1454.62
2007-07-01,1520.71
